Location,Population
"Stamford town, CT","139,134"
"West Valley City city, UT","138,144"
"Orange city, CA","137,941"
"Cedar Rapids city, IA","137,904"
"Warren city, MI","137,686"
"Hampton city, VA","137,596"
"New Haven city, CT","137,562"
"New Haven town, CT","137,562"
"Pasadena city, CA","137,195"
"Rockwall County, TX","137,044"
"Kent city, WA","136,588"
"Dayton city, OH","136,346"
"Berkeley County, WV","136,287"
"Fargo city, ND","136,285"
"Lewisville city, TX","135,983"
"Carrollton city, TX","135,456"
"Denton County, TX","135,378"
"Round Rock city, TX","135,359"
"Sterling Heights city, MI","134,342"
"Ascension Parish, LA","133,534"
"Santa Clara city, CA","133,132"
"Hunterdon County, NJ","131,708"
"Norman city, OK","131,010"
"Columbia city, MO","130,900"
"Amherst town, NY","130,862"
"Abilene city, TX","130,501"
"Washington County, RI","130,333"
"Athens-Clarke County unified government, GA","129,995"
"Clarke County, GA","129,995"
"Pearland city, TX","129,620"
"Athens-Clarke County unified government (balance), GA","128,691"
"College Station city, TX","128,023"
"Clovis city, CA","127,993"
"West Palm Beach city, FL","127,744"
"Allentown city, PA","127,138"
"Aurora township, IL","126,608"
"North Charleston city, SC","126,005"
"Simi Valley city, CA","125,778"
"Topeka city, KS","125,467"
"Wilmington city, NC","125,284"
"Lakeland city, FL","124,990"
"Thousand Oaks city, CA","124,229"
"Concord city, CA","124,016"
"Newton County, GA","124,010"
"Rochester city, MN","123,624"
"Vallejo city, CA","123,475"
"Lawrence township, IN","123,133"
"Ann Arbor city, MI","122,925"
"Broken Arrow city, OK","122,756"
"Fairfield city, CA","122,646"
"Lafayette city, LA","122,280"
"Hartford city, CT","122,129"
"Hartford town, CT","122,129"
"Arvada city, CO","121,873"
"Berkeley city, CA","121,749"
"Independence city, MO","121,629"
"Billings city, MT","121,483"
"Cambridge city, MA","121,186"
"Lowell city, MA","120,418"
"Odessa city, TX","119,748"
"High Point city, NC","118,601"
"League City city, TX","118,456"
"Antioch city, CA","118,453"
"Richardson city, TX","118,221"
"Goodyear city, AZ","118,186"
"Pompano Beach city, FL","118,104"
"Nampa city, ID","117,350"
