Location,Population
"South Jordan city, UT","86,156"
"Orange County, TX","86,115"
"Upper Darby township, PA","86,045"
"Daytona Beach city, FL","86,015"
"Baytown city, TX","86,004"
"San Ramon city, CA","85,924"
"Nassau County, FL","85,842"
"Bullitt County, KY","85,802"
"Homestead city, FL","85,796"
"Whittier city, CA","85,589"
"Chittenden County, VT","85,549"
"Gastonia city, NC","85,535"
"Joliet township, IL","85,531"
"Auburn city, WA","85,513"
"New Rochelle city, NY","85,512"
"Mohave County, AZ","85,476"
"Bulloch County, GA","85,454"
"Robeson County, NC","85,261"
"Schenectady County, NY","85,136"
"Highlands County, FL","85,007"
"Putnam County, TN","84,894"
"Livermore city, CA","84,867"
"Rowan County, NC","84,836"
"South Bend city, IN","84,824"
"Kissimmee city, FL","84,756"
"Bartholomew County, IN","84,741"
"Leavenworth County, KS","84,670"
"Plainfield township, IL","84,532"
"Cascade County, MT","84,523"
"Tooele County, UT","84,488"
"Cranston city, RI","84,448"
"Layton city, UT","84,348"
"Lawrence County, PA","84,233"
"Payne County, OK","84,199"
"Farmington Hills city, MI","84,173"
"Rancho Cordova city, CA","84,113"
"Howard County, IN","84,082"
"Midland County, MI","84,022"
"Chatham County, NC","83,874"
"Florence County, SC","83,866"
"Queen Creek town, AZ","83,781"
"Auburn city, AL","83,757"
"Walker County, TX","83,722"
"Longview city, TX","83,668"
"Cape Girardeau County, MO","83,658"
"Hawthorne city, CA","83,633"
"Bloom township, IL","83,626"
"Doral city, FL","83,625"
"Pike township, IN","83,591"
"Buchanan County, MO","83,574"
"Warwick city, RI","83,554"
"Henderson County, NC","83,508"
"Kanawha County, WV","83,492"
"Newport County, RI","83,468"
"Indianapolis city (balance), IN","83,267"
"Miami Beach city, FL","83,251"
"Castle Rock town, CO","83,213"
"Kennebec County, ME","83,178"
"Orangeburg County, SC","83,129"
"Boynton Beach city, FL","83,095"
"Perris city, CA","83,032"
"Lee County, MS","83,012"
"Redwood City city, CA","82,982"
"Newport Beach city, CA","82,970"
"Indiana County, PA","82,953"
"Brooklyn Park city, MN","82,893"
"James City County, VA","82,797"
"Wood County, WV","82,757"
"Westland city, MI","82,745"
"Tuscaloosa County, AL","82,658"
"Buena Park city, CA","82,611"
"Oconee County, SC","82,475"
"Dougherty County, GA","82,418"
"Jonesboro city, AR","82,384"
"Largo city, FL","82,337"
"Gaston County, NC","82,206"
"Redmond city, WA","82,195"
"Bedford County, VA","82,182"
"Somerville city, MA","82,149"
"Cicero town, IL","82,090"
"Cicero township, IL","82,090"
"Crawford County, PA","82,089"
"Lake County, IL","81,991"
"Floyd County, IN","81,931"
"Do??Ana County, NM","81,855"
"Pasco city, WA","81,724"
"Manitowoc County, WI","81,513"
"Anderson County, TN","81,449"
"Talladega County, AL","81,375"
"Portage County, OH","81,348"
"Rankin County, MS","81,327"
"Wise County, TX","81,275"
"Johnson County, TX","81,240"
"Chelan County, WA","81,228"
"Union County, NC","81,227"
"Johns Creek city, GA","81,167"
"Lake Charles city, LA","81,157"
"Pharr city, TX","81,142"
"Chemung County, NY","81,115"
"Loveland city, CO","81,102"
"Monroe County, FL","80,908"
"St. Landry Parish, LA","80,869"
"Valencia County, NM","80,813"
"Mansfield city, TX","80,803"
"Caldwell County, NC","80,739"
"St. Lucie County, FL","80,675"
"Kosciusko County, IN","80,669"
"Woodbury city, MN","80,596"
"Umatilla County, OR","80,491"
"Sullivan County, NY","80,450"
"Shelby charter township, MI","80,425"
"Natrona County, WY","80,410"
"Lynchburg city, VA","80,301"
"Alhambra city, CA","80,279"
"Clinton County, MI","80,050"
"Liberty County, TX","80,022"
"Flower Mound town, TX","79,990"
"Bloomington city, IN","79,986"
"Wilson County, NC","79,958"
"Rapid City city, SD","79,894"
"Franklin County, NC","79,771"
"Milpitas city, CA","79,746"
"Flint city, MI","79,735"
"Upland city, CA","79,684"
"Hudson County, NJ","79,545"
"Bethlehem city, PA","79,453"
"Parma city, OH","79,350"
"Pickens County, SC","79,287"
"Bloomington City township, IL","79,232"
"Bloomington city, IL","79,232"
"Oswego County, NY","79,143"
"St. Joseph township, IN","79,115"
"Bartow County, GA","79,103"
"White County, AR","79,091"
"Bowling Green city, KY","79,076"
"Cherry Hill township, NJ","78,988"
"Tustin city, CA","78,863"
"Alameda city, CA","78,795"
"Boone County, IN","78,773"
"Augusta County, VA","78,622"
"MO City city Te, as","78,582"
"MO City city, TX","78,582"
"Wyoming city, MI","78,559"
"Plymouth city, MN","78,551"
"Lakewood city, CA","78,494"
"Robertson County, TN","78,459"
"Forrest County, MS","78,435"
"Cedar Park city, TX","78,380"
"Rochester Hills city, MI","78,330"
"Broomfield city, CO","78,323"
"Broomfield County, CO","78,323"
"Mableton city, GA","78,314"
"Carroll County, GA","78,264"
"Missoula city, MT","78,204"
"Clearfield County, PA","78,132"
"Wayne County, NC","78,121"
"Cheshire County, NH","78,078"
"Racine city, WI","78,057"
"Lakeville city, MN","77,971"
"Clallam County, WA","77,958"
"Ontario County, NY","77,951"
"Grays Harbor County, WA","77,893"
"Sullivan County, TN","77,891"
"Clinton County, NY","77,871"
"Bismarck city, ND","77,772"
"Cole County, MO","77,625"
"Flagstaff city, AZ","77,539"
"Chino Hills city, CA","77,418"
"Putnam County, FL","77,301"
"Madera County, CA","77,147"
"Brunswick County, NC","77,139"
"Pittsburg city, CA","77,131"
"Schaumburg village, IL","77,099"
"Pawtucket city, RI","76,996"
"Napa city, CA","76,921"
"Southfield city, MI","76,874"
"Ankeny city, IA","76,727"
"IA City city, IA","76,710"
"Summit County, OH","76,683"
"Maricopa city, AZ","76,654"
"Brick township, NJ","76,629"
"Adams County, PA","76,628"
"Lauderhill city, FL","76,627"
"Northwest Hills Planning Region, CT","76,448"
"Lonoke County, AR","76,389"
"Marysville city, WA","76,209"
"Van Buren County, MI","76,129"
"Ross County, OH","76,046"
"Hammond city, IN","76,030"
"Evanston city, IL","76,006"
"Apex town, NC","75,977"
"Scranton city, PA","75,905"
"New Britain city, CT","75,871"
"New Britain town, CT","75,871"
"Fauquier County, VA","75,865"
"Rock Hill city, SC","75,798"
"Jackson County, MS","75,726"
"Bellflower city, CA","75,716"
"Pleasanton city, CA","75,664"
"Rogers city, AR","75,639"
"Arlington Heights village, IL","75,596"
"Cattaraugus County, NY","75,475"
"Appleton city, WI","75,344"
"Cecil County, MD","75,254"
"Noblesville city, IN","75,239"
"Blaine city, MN","75,172"
"Lea County, NM","75,151"
"Tamarac city, FL","75,147"
"Lewis and Clark County, MT","75,129"
"Rocklin city, CA","75,129"
"Apple Valley town, CA","75,029"
"Hancock County, OH","75,016"
"Bolingbrook village, IL","74,756"
"Hendricks County, IN","74,622"
"Gulfport city, MS","74,621"
"Cayuga County, NY","74,567"
"Fall Creek township, IN","74,564"
"Bayonne city, NJ","74,532"
"Pottawatomie County, OK","74,446"
"Greenville city, SC","74,371"
"San Marcos city, TX","74,316"
"Lafayette Parish, LA","74,285"
"Redlands city, CA","74,279"
"Warren County, NJ","74,179"
"Rich township, IL","73,996"
"Columbia County, FL","73,977"
"Creek County, OK","73,971"
"Wood County, WI","73,943"
"Erie County, OH","73,841"
"Kauai County, HI","73,840"
"Morgan County, IN","73,825"
"West Des Moines city, IA","73,664"
"Johnson City city, TN","73,635"
"Lake Elsinore city, CA","73,595"
"Greene County, TN","73,398"
"Framingham city, MA","73,361"
"Mesa County, CO","73,351"
"Cambria County, PA","73,304"
"Kalamazoo city, MI","73,290"
"Fairfield County, OH","73,201"
"Wilmington city, DE","73,176"
"Effingham County, GA","73,148"
"DeKalb County, AL","73,122"
"Berkshire County, MA","73,113"
"Caldwell city, ID","73,088"
"Eaton County, MI","73,054"
"Turlock city, CA","72,888"
"Maple Grove city, MN","72,739"
"Wilson County, TN","72,739"
"Schuylkill County, PA","72,700"
"Tulare city, CA","72,601"
"Mecklenburg County, NC","72,571"
"Riley County, KS","72,557"
"St. Charles city, MO","72,458"
"Raleigh County, WV","72,379"
"Eau Claire city, WI","72,331"
"Walton County, GA","72,268"
"Harlingen city, TX","72,234"
"Terrebonne Parish, LA","72,193"
"Somerset County, PA","72,134"
"Portage County, WI","72,040"
"Mount Vernon city, NY","71,999"
"East Orange city, NJ","71,850"
"Porter County, IN","71,826"
"Vernon township, IL","71,816"
"Scioto County, OH","71,798"
"Lafayette city, IN","71,757"
"Camden city, NJ","71,749"
"Union County, OH","71,721"
"Kershaw County, SC","71,698"
"Dothan city, AL","71,650"
"Surry County, NC","71,547"
"Troup County, GA","71,513"
"San Patricio County, TX","71,467"
"Waukesha city, WI","71,461"
"North Richland Hills city, TX","71,436"
"Tonawanda town, NY","71,411"
"York County, VA","71,410"
"Harrison County, TX","71,370"
"Sevier County, TN","71,340"
"Vermilion County, IL","71,106"
"St. Joseph city, MO","71,098"
"St. Cloud city, FL","71,036"
"Christian County, KY","71,006"
"Licking County, OH","70,972"
"Franklin County, MA","70,871"
"Jacksonville city, NC","70,840"
"Monongalia County, WV","70,819"
"Walnut Creek city, CA","70,817"
"Eastvale city, CA","70,751"
"Passaic city, NJ","70,722"
"Conway city, AR","70,711"
"Blue Earth County, MN","70,700"
"Gaithersburg city, MD","70,686"
"Weston city, FL","70,674"
"Southampton town, NY","70,646"
"Lauderdale County, MS","70,588"
"Grand Junction city, CO","70,554"
"Laurens County, SC","70,545"
"Dublin city, CA","70,544"
"Waterford charter township, MI","70,538"
"Oldham County, KY","70,525"
"Old Bridge township, NJ","70,506"
"Klamath County, OR","70,438"
"Fishers city, IN","70,379"
"Spalding County, GA","70,292"
"Carteret County, NC","70,259"
"Ocala city, FL","70,251"
"Commerce City city, CO","70,245"
"Delray Beach city, FL","70,140"
"Pender County, NC","70,077"
"Greenwood County, SC","70,041"
"Humboldt County, CA","70,006"
"Camarillo city, CA","69,881"
"Franklin township, NJ","69,862"
"Shawnee city, KS","69,724"
"Otero County, NM","69,711"
"Jefferson County, NY","69,691"
"Mason County, WA","69,632"
"Portland city, ME","69,568"
"ID Falls city, ID","69,523"
"Schenectady city, NY","69,495"
"Walker County, GA","69,340"
"Montcalm County, MI","69,314"
"Jackson city, TN","69,303"
"Baldwin Park city, CA","69,247"
"Canton city, OH","69,211"
"San Benito County, CA","69,159"
"Butler County, KS","69,158"
"Yuba City city, CA","69,148"
"Hood County, TX","69,126"
"Madera city, CA","69,094"
"Ames city, IA","69,026"
"Rice County, MN","69,025"
"McKinley County, NM","68,945"
"Catoosa County, GA","68,940"
"Casa Grande city, AZ","68,927"
"Decatur city, IL","68,763"
"Crow Wing County, MN","68,642"
"Lodi city, CA","68,642"
"Liberty County, GA","68,607"
"Lee County, NC","68,537"
"Navajo County, AZ","68,466"
"Noblesville township, IN","68,447"
"Ward County, ND","68,427"
"Rockville city, MD","68,417"
"Haverhill city, MA","68,291"
"Flathead County, MT","68,262"
"Greenwood city, IN","68,175"
"Rowlett city, TX","68,123"
"Redondo Beach city, CA","68,075"
"Ellis County, TX","68,008"
"Shiawassee County, MI","67,982"
"Marquette County, MI","67,979"
"Knight township, IN","67,804"
"Lake County, CA","67,764"
"Hamblen County, TN","67,715"
"Nevada County, CA","67,675"
"Novi city, MI","67,675"
"Palo Alto city, CA","67,658"
"Gary city, IN","67,555"
"McCracken County, KY","67,550"
"Iberia Parish, LA","67,540"
"St. Francois County, MO","67,503"
"Tippecanoe County, IN","67,488"
"Waterloo city, IA","67,477"
"Shelby County, AL","67,335"
"Dane County, WI","67,327"
"Stanly County, NC","67,326"
"Chippewa County, WI","67,323"
"Butte County, CA","67,301"
"Alpharetta city, GA","67,275"
"Oshkosh city, WI","67,242"
"Eagan city, MN","67,240"
"Davis city, CA","67,125"
"Allegany County, MD","67,097"
"Huntersville town, NC","67,087"
"Madison County, NY","67,072"
"Williamson County, IL","67,064"
"West Chester township, OH","66,982"
"Warren County, KY","66,955"
"Middletown township, NJ","66,940"
"Sanford city, FL","66,919"
"Union City city, NJ","66,918"
"Marin County, CA","66,905"
"Gloucester township, NJ","66,896"
"Pulaski County, KY","66,842"
"Pflugerville city, TX","66,819"
"Aroostook County, ME","66,776"
"Muskogee County, OK","66,752"
"Lamar County, MS","66,734"
"Albany city, GA","66,705"
"Malden city, MA","66,693"
"Plymouth town, MA","66,663"
"Westfield WA township Indi, na","66,589"
"Starr County, TX","66,587"
"West Bloomfield charter township, MI","66,586"
"Port Orange city, FL","66,556"
"Yorba Linda city, CA","66,489"
"Sauk County, WI","66,486"
"Sammamish city, WA","66,474"
"Grant County, IN","66,458"
"Janesville city, WI","66,428"
"Wayne County, IN","66,410"
"Warrick County, IN","66,339"
"Brentwood city, CA","66,286"
"Shoreline city, WA","66,251"
"Ionia County, MI","66,250"
"Shasta County, CA","66,204"
"Union City city, CA","66,196"
"Wilkes County, NC","66,186"
"Georgetown County, SC","66,035"
"Victoria city, TX","66,020"
"Columbia County, PA","66,012"
"Whitfield County, GA","65,977"
"Palatine village, IL","65,951"
"Iron County, UT","65,936"
"Lincoln County, MO","65,888"
"Salem County, NJ","65,874"
"Skokie village, IL","65,850"
"Waltham city, MA","65,849"
"Jones County, MS","65,837"
"Kyle city, TX","65,833"
"Lorain city, OH","65,751"
"Carbon County, PA","65,743"
"Nacogdoches County, TX","65,728"
"Cheyenne city, WY","65,704"
"Warren township, IL","65,661"
"Larimer County, CO","65,643"
"Limestone County, AL","65,637"
"Cumberland County, TN","65,618"
"Rutherford County, NC","65,587"
"Parker town, CO","65,473"
"Clark County, OH","65,445"
"Muncie city, IN","65,320"
"Van Zandt County, TX","65,304"
"Fairfield town, CT","65,300"
"Warren County, NY","65,288"
"Walker County, AL","65,260"
"Belknap County, NH","65,257"
"Waller County, TX","65,109"
"Isabella County, MI","65,072"
"Outagamie County, WI","65,049"
"Marion County, OH","64,976"
"Burnsville city, MN","64,864"
"Pope County, AR","64,829"
"Apache County, AZ","64,800"
"Bellevue city, NE","64,777"
"Lower Merion township, PA","64,702"
"Belmont County, OH","64,692"
"South San Francisco city, CA","64,660"
"Kenner city, LA","64,650"
"Greenwich town, CT","64,594"
"North Little Rock city, AR","64,498"
"Harrison County, WV","64,472"
"Tehama County, CA","64,451"
"Ada County, ID","64,427"
"Richland city, WA","64,372"
"Coos County, OR","64,326"
"Millcreek city, UT","64,217"
"Jackson County, OR","64,210"
"Wayne township, IL","64,190"
"St. Lawrence County, NY","64,186"
"Laguna Niguel city, CA","64,185"
"West Hartford town, CT","64,184"
"Jeffersonville township, IN","64,140"
"Box Elder County, UT","64,120"
"Dundee township, IL","64,114"
"Adams County, IL","64,109"
"Madison city, AL","64,029"
"Chapel Hill town, NC","64,028"
"Barry County, MI","64,025"
"Hamilton city, OH","63,953"
"Hendersonville city, TN","63,947"
"Brookline town, MA","63,925"
"Jefferson County, OH","63,900"
"Bay County, MI","63,869"
"Knox County, OH","63,848"
"Moore city, OK","63,845"
"Coon Rapids city, MN","63,807"
"Forsyth County, NC","63,735"
"Lyon County, NV","63,718"
"Chaves County, NM","63,697"
"Armstrong County, PA","63,679"
"Jefferson County, AR","63,672"
"Utica city, NY","63,660"
"Avon township, IL","63,611"
"Lynwood city, CA","63,596"
"Vanderburgh County, IN","63,574"
"Porterville city, CA","63,517"
"Laurel County, KY","63,353"
"Palm Beach Gardens city, FL","63,284"
"Wellington village, FL","63,258"
"Athens County, OH","63,218"
"Bossier City city, LA","63,218"
"Garfield County, CO","63,167"
"Marietta city, GA","63,122"
"Bensalem township, PA","63,080"
"Haywood County, NC","63,048"
"Alamance County, NC","62,995"
"Westfield city, IN","62,994"
"Jupiter town, FL","62,987"
"Woodland city, CA","62,983"
"Wylie city, TX","62,954"
"Eden Prairie city, MN","62,905"
"Hall County, NE","62,869"
"Apopka city, FL","62,777"
"Piscataway township, NJ","62,733"
"Lakewood city, WA","62,709"
"Council Bluffs city, IA","62,665"
"Bradley County, TN","62,640"
"San Clemente city, CA","62,627"
"Santa Cruz city, CA","62,581"
"White Plains city, NY","62,561"
"Pontiac city, MI","62,528"
"Lycoming County, PA","62,516"
"McHenry County, IL","62,460"
"Darlington County, SC","62,425"
"Marana town, AZ","62,380"
"Pike County, PA","62,376"
"Herriman city, UT","62,352"
"Crawford County, AR","62,258"
"North Miami city, FL","62,202"
"Bristol city, CT","62,195"
"Bristol town, CT","62,195"
"Tipton County, TN","62,187"
"Pickaway County, OH","62,158"
"Loudon County, TN","62,129"
"Vineland city, NJ","62,070"
"Walla Walla County, WA","62,068"
